City,Job Title,Company,Location,Summary,Salary,Date Posted,Link
Sydney,Media Data Analyst - Entry Level Role,Spark Foundry,Pyrmont,N/A,N/A,20d ago,https://www.seek.com.au/job/84102768?type=standard&ref=search-standalone&origin=cardTitle#sol=104d242b9377f3233cb6df5917bf40cdb765f3d7
Sydney,Data Entry Assistant - Short Contract,CK Recruitment Pty Ltd,Ingleburn,N/A,$33 – $35 per hour,3d ago,https://www.seek.com.au/job/84461050?type=standard&ref=search-standalone&origin=cardTitle#sol=bf946732947d1bddcfcd0c41f264c37d7cb21328
Sydney,Data Analyst,ASIC,Sydney NSW,N/A,N/A,3d ago,https://www.seek.com.au/job/84462887?type=standard&ref=search-standalone&origin=cardTitle#sol=6a138eb8e6214346eabc6c3545786c6608548507
Sydney,Data Processing Officer,Grace Worldwide (Australia) Pty Ltd,Campbelltown,N/A,$31.09 per hour,6d ago,https://www.seek.com.au/job/84425930?type=standard&ref=search-standalone&origin=cardTitle#sol=97712c64342ccf55d76dc80040ed3152050e945f
Sydney,Power BI Analyst for Westpac,Seisma,Sydney NSW,N/A,N/A,6d ago,https://www.seek.com.au/job/84404808?type=standard&ref=search-standalone&origin=cardTitle#sol=d88da30673530f94504fce44cbf50c60d572d23c
Sydney,Customer Data Insights Analyst,Hearing Australia,Macquarie Park,N/A,N/A,6d ago,https://www.seek.com.au/job/84422848?type=standard&ref=search-standalone&origin=cardTitle#sol=d54c65b7f19fd25b43fc9e4850c022a321d896f2
Sydney,ETL Developer / Data Analyst - Junior / Trainee,Datalynx,Sydney NSW,N/A,N/A,20d ago,https://www.seek.com.au/job/84107245?type=standard&ref=search-standalone&origin=cardTitle#sol=e30814fcc297890c3cb6a27d141b3220e8eb7c5d
Sydney,Graduate Analyst,Noumi,Ingleburn,N/A,N/A,12d ago,https://www.seek.com.au/job/84276416?type=standard&ref=search-standalone&origin=cardTitle#sol=b9101ab0e7836f214091604d6e687ce61f87a8fa
Sydney,Business Intelligence Analyst,Downer EDI Limited,North Ryde,N/A,N/A,1h ago,https://www.seek.com.au/job/84550634?type=standard&ref=search-standalone&origin=cardTitle#sol=9e3f31680e4cd6b67d0224a1513d7588bf6b358d
Sydney,Inventory & Data Analyst,Waterco Limited,Rydalmere,N/A,"$90,000 – $100,000 per year",14d ago,https://www.seek.com.au/job/84211936?type=standard&ref=search-standalone&origin=cardTitle#sol=9fbbc8e183ef8ee45e6f80331f98aaceb1ccef0a
Sydney,Senior Data Analyst,On Q Recruitment Pty Ltd,Sydney NSW,N/A,N/A,7d ago,https://www.seek.com.au/job/84374974?type=standard&ref=search-standalone&origin=cardTitle#sol=58a3eb53474de9b50f335eceff4193e139bea974
Sydney,Data Analyst- Excel and HR Systems,Evolution Recruitment Solutions Pty Ltd,Sydney NSW,N/A,$50 – $75 per hour,9d ago,https://www.seek.com.au/job/84336809?type=standard&ref=search-standalone&origin=cardTitle#sol=3e7f6ed69adb81f14ef4ea67732159408087d2b2
Sydney,"Data Analyst/ Data Engineer - SAS, Python, R, BI - Fed Gov",HiTech Personnel,Sydney NSW,N/A,N/A,6d ago,https://www.seek.com.au/job/84424130?type=standard&ref=search-standalone&origin=cardTitle#sol=ec471d1ff2c33ba69f9c08818a662848b940710e
Sydney,Digital Insights Analyst - 6 Month Fixed Term Contract,craveable brands,Chatswood,N/A,N/A,1h ago,https://www.seek.com.au/job/84551636?type=standard&ref=search-standalone&origin=cardTitle#sol=5dbfdc3a0024279dc8cbcd5212c92790585d87b3
Sydney,Data and Insights Business Analyst,Willoughby City Council,Sydney NSW,N/A,"$98,253.43 – $105,920.68 per year",5d ago,https://www.seek.com.au/job/84449343?type=standard&ref=search-standalone&origin=cardTitle#sol=9dae39dc8081db5c3a2d105bbb5117f659b44313
Melbourne,Junior Data Analyst,Ploomo,Melbourne VIC,N/A,$60k-$75k + super (depending on your experience),1d ago,https://www.seek.com.au/job/84523589?type=standard&ref=search-standalone&origin=cardTitle#sol=f3a6ddab8316e6c0460d5ef1d73b01a381634087
Melbourne,Data Analyst (Contract) - Tableau,CircuIT Recruitment Group,Melbourne VIC,N/A,"$1000-1100 per day, incl super - must tick boxes",2d ago,https://www.seek.com.au/job/84490523?type=standard&ref=search-standalone&origin=cardTitle#sol=9f50c08459b7fd3f6d002a7612acbdc4de21d0cf
Melbourne,Data Analyst,Greater Western Water,Footscray,N/A,N/A,8d ago,https://www.seek.com.au/job/84363703?type=standard&ref=search-standalone&origin=cardTitle#sol=8dfccd323735b5fb081a9dfc4258d0de60c11b84
Melbourne,Junior Reporting Analyst,recoveriescorp,Melbourne VIC,N/A,N/A,1d ago,https://www.seek.com.au/job/84526785?type=standard&ref=search-standalone&origin=cardTitle#sol=c077f8309b04a221d80c1e01e66d1d85b34e1bd4
Melbourne,People Data & Reporting Analyst,The Next Step,Hawthorn,N/A,N/A,3d ago,https://www.seek.com.au/job/84456902?type=standard&ref=search-standalone&origin=cardTitle#sol=911d88a41777197e107e62424bd7e10c44eaddb3
Melbourne,Data Analyst,ASIC,Melbourne VIC,N/A,N/A,3d ago,https://www.seek.com.au/job/84462911?type=standard&ref=search-standalone&origin=cardTitle#sol=66f5f18057d145d1af3d836d467b707864c3a0f7
Melbourne,APS 6 Data Analyst,HOBAN Recruitment,Richmond,N/A,Plus Super,10d ago,https://www.seek.com.au/job/84307559?type=standard&ref=search-standalone&origin=cardTitle#sol=bbfc836dcedb3d4c9c4ea0e34242fd88cb21bdae
Melbourne,Senior Data Analyst,Essential Services Commission,Melbourne VIC,N/A,N/A,21h ago,https://www.seek.com.au/job/84531599?type=standard&ref=search-standalone&origin=cardTitle#sol=628d6774728fa16b422a2de092e62eef87478cee
Melbourne,Data Scientist/Analyst,Airservices Australia,Melbourne VIC,N/A,N/A,9d ago,https://www.seek.com.au/job/84315895?type=standard&ref=search-standalone&origin=cardTitle#sol=54fce64e53f7444f49dc7c94bf27b8043dea5da8
Melbourne,Data Analyst,Deakin University,Melbourne VIC,N/A,"HEW 7 $101,858 - $112,156 + 17% Superannuation",3d ago,https://www.seek.com.au/job/84464604?type=standard&ref=search-standalone&origin=cardTitle#sol=9f5e95688974ffcd4171d8816c487c318a57308c
Melbourne,Head of Data and Analytics,Launch Recruitment Pty Ltd,Melbourne VIC,N/A,"up to $225,000 plus super",15d ago,https://www.seek.com.au/job/84199986?type=standard&ref=search-standalone&origin=cardTitle#sol=9ab4d403125a1ed23abecd82868db6dcd09c2760
Melbourne,Data Reporting Analyst - 4 month contract,PM-Partners Group,Melbourne VIC,N/A,$700 - $750 a day inc super,20d ago,https://www.seek.com.au/job/84102163?type=standard&ref=search-standalone&origin=cardTitle#sol=509df956624117a2330ef28b5df81921d5d08de2
Melbourne,Data Scientist,Latitude Financial Services,Melbourne VIC,N/A,N/A,21h ago,https://www.seek.com.au/job/84531162?type=standard&ref=search-standalone&origin=cardTitle#sol=4521fe734d6404c74bd044a46fcc945e69cb8ec4
Melbourne,Mission Data Analyst,Melbourne Archdiocese Catholic Schools,East Melbourne,N/A,N/A,2h ago,https://www.seek.com.au/job/84548880?type=standard&ref=search-standalone&origin=cardTitle#sol=2dcb93208b370adeb5f9fca1e61e46b45fb949c0
Melbourne,Business Intelligence Data Analyst,Symbos,Melbourne VIC,N/A,N/A,2d ago,https://www.seek.com.au/job/84469381?type=standard&ref=search-standalone&origin=cardTitle#sol=8f9f1cf31c77483820582ff516868f2032ab68f3
Melbourne,Data Scientist,Entain Group PTY LTD,Melbourne VIC,N/A,N/A,1d ago,https://www.seek.com.au/job/84502447?type=standard&ref=search-standalone&origin=cardTitle#sol=6385f46d2579e23ec9566d89ecba86566c97f81f
Melbourne,2026 DXC Graduate Program - Data Analytics (Technical Consulting),GradConnection,Melbourne VIC,N/A,N/A,2h ago,https://www.seek.com.au/job/84550553?type=standard&ref=search-standalone&origin=cardTitle#sol=eeb61f4ff42fa72f73c16016ea03cbf5e517b16a
Melbourne,Data Analytics Graduate - 2026 Graduate Program,Kmart,Melbourne VIC,N/A,N/A,3d ago,https://www.seek.com.au/job/84463456?type=standard&ref=search-standalone&origin=cardTitle#sol=289b8a88f9f7d8794962168a4e57a929e6f07e94
Melbourne,Business Analyst - Asset Systems and Data,V/Line Corporation,Melbourne VIC,N/A,free Myki,6d ago,https://www.seek.com.au/job/84402957?type=standard&ref=search-standalone&origin=cardTitle#sol=be4e87d2dbc851910d0e405afc6b3eb5e15255a3
Melbourne,"Manager, Enterprise Insights, Data and Reporting","Solar Victoria - Department of Energy, Environment and Climate Action",Melbourne VIC,N/A,"$138,631 to $185,518 + superannuation",5d ago,https://www.seek.com.au/job/84432237?type=standard&ref=search-standalone&origin=cardTitle#sol=1c431589befbff1fd7474d161d11310c61cd68c1
